Units,Regularization Parameter,Epochs,Batch Size,Training Accuracy (%),Test Accuracy (%),Training RMSE,Test RMSE,MSE
"(8, 8)",0.5,70,16,-25.668247246959375,-21.85979933664738,1.4369778163197935,1.52875570050825,2.33709399183647
"(8, 8)",0.5,70,32,-28.882870817453068,-23.798169172907677,1.6101929030047593,1.6583847446322553,2.7502399612289903
"(8, 8)",0.5,70,64,-32.26156096210659,-26.196709485467803,1.7922484667291054,1.8187878226175804,3.3079891437019993
"(16, 8)",0.1,30,16,-26.834302044072267,-21.54691588408769,1.499808900063235,1.507831529011761,2.273555919881945
"(16, 8)",0.1,30,32,-32.004217487622576,-26.261815651267092,1.7783819062242578,1.8231418163092192,3.3238460823752787
"(16, 8)",0.1,30,64,-34.17289838091635,-26.679169059656733,1.8952379674974662,1.8510524463548366,3.4263951591562254
"(16, 8)",0.1,50,16,-26.011859729440058,-21.525950492824684,1.4554928507036753,1.5064294623997712,2.2693297251860636
"(16, 8)",0.1,50,32,-29.448146244635993,-23.9572148581333,1.6406519069824268,1.6690209708890678,2.785631001267486
"(16, 8)",0.1,50,64,-32.05686561003211,-25.70077395204244,1.7812187699773498,1.7856219902039432,3.188445891899891
"(16, 8)",0.1,60,16,-24.112605874385537,-20.608940002138834,1.353154454332899,1.4451041202820718,2.0883259184562206
"(16, 8)",0.1,60,32,-28.76485352804624,-23.53687657779159,1.6038337214189073,1.6409107266672798,2.69258801289174
"(16, 8)",0.1,60,64,-32.726322236941606,-26.019425244968907,1.8172914189575675,1.806931887695244,3.2650028467698977
"(16, 8)",0.1,70,16,-24.599581836591152,-20.714618318419163,1.3793944110983456,1.452171388286243,2.1088017409571944
"(16, 8)",0.1,70,32,-25.6088056793353,-21.27284225920886,1.4337748981357796,1.4895027759801995,2.21861851965272
"(16, 8)",0.1,70,64,-32.48207683962913,-25.36219669817766,1.8041306283579428,1.76297953830462,3.108096852480771
"(16, 8)",0.5,30,16,-31.30497353763102,-26.177891663206022,1.7407042127849843,1.8175293753044524,3.303413030094593
"(16, 8)",0.5,30,32,-32.499073822416136,-25.37074267768777,1.805046484843865,1.7635510531591518,3.1101123170987535
"(16, 8)",0.5,30,64,-32.84862767368141,-26.318343690384676,1.8238816608202173,1.8269221452949171,3.337644524968982
"(16, 8)",0.5,50,16,-25.450616087242285,-21.09224578751827,1.425251093308814,1.4774253346377437,2.182785619429449
"(16, 8)",0.5,50,32,-30.803162339373635,-24.85270026817633,1.713664881958361,1.728906817005424,2.989118781887827
"(16, 8)",0.5,50,64,-31.49345649965806,-25.14296487555068,1.75086032963357,1.74831834668005,3.056617041338064
"(16, 8)",0.5,60,16,-24.512531258611244,-20.518453136462206,1.3747038235131714,1.4390527849362489,2.070872917832774
"(16, 8)",0.5,60,32,-26.06210558230196,-21.563553992642802,1.458200271827231,1.508944207339542,2.2769126208635586
"(16, 8)",0.5,60,64,-31.204520257436698,-25.571847032068074,1.7352914410389049,1.776999965095271,3.157728875948594
"(16, 8)",0.5,70,16,-24.6353947473264,-20.97349143188624,1.3813241351551173,1.469483602715294,2.1593820586491197
"(16, 8)",0.5,70,32,-27.24096162497422,-22.400289930493035,1.5217211311573364,1.5649011654900005,2.4489156577519617
"(16, 8)",0.5,70,64,-30.578689707491115,-24.486169994563422,1.7015695166574831,1.7043949988156517,2.9049623119878056
"(32, 16)",0.1,30,16,-25.477890950072236,-21.233950054716594,1.4267207576803365,1.4869018485421546,2.210877107198076
"(32, 16)",0.1,30,32,-31.16577558315646,-25.003474104973595,1.7332037433763752,1.7389898610031815,3.0240857366718648
"(32, 16)",0.1,30,64,-32.501471151688946,-25.62680647761145,1.8051756612742296,1.780675393931451,3.1708048585529283
"(32, 16)",0.1,50,16,-24.91870346631237,-21.405512946118574,1.3965897932459104,1.4983751665868144,2.2451281398440637
"(32, 16)",0.1,50,32,-26.011619486385868,-21.66755105403994,1.4554799055732288,1.5158990409365327,2.2979499023122996
"(32, 16)",0.1,50,64,-31.67536380809034,-25.683134645015684,1.7606621274203904,1.7844423564384386,3.184234523451568
"(32, 16)",0.1,60,16,-27.498405096777375,-23.096052644306695,1.535593079865164,1.61143049845919,2.5967082513644337
"(32, 16)",0.1,60,32,-25.81147806427413,-21.579423293615207,1.4446955903897833,1.5100054714375932,2.280116523771468
"(32, 16)",0.1,60,64,-27.15517430875359,-22.386648831957473,1.5170986125047574,1.5639889130751685,2.446061320222047
